,budget_rank,budget,domestic_gross,worldwide_gross,dom_profits,total_profits,budget_quart,profit_transform,dom_profit_transform,rating,critic_rating,aud_rating,release_date
Avatar,1,425000000,760507625,2783918982,335507625,2358918982,143.581085551,21.6272285801,20.1023443293,68,83,82,2009-12-18
Pirates of the Caribbean: At World's End,2,300000000,309420425,963420425,9420425,663420425,131.607401295,20.4669153207,19.1690816595,7,45,72,2007-05-25
Spectre,3,300000000,178416219,751916219,-121583781,451916219,131.607401295,20.1476642612,18.2019964853,57,64,66,2015-11-06
The Dark Knight Rises,4,275000000,448139099,1084439099,173139099,809439099,128.775478845,20.6397639393,19.7426510143,81,87,90,2012-07-20
The Lone Ranger,5,275000000,89289910,259989910,-185710090,-15010090,128.775478845,18.3740099285,16.6024477844,44,31,51,2013-07-03
John Carter,6,275000000,73058679,282778100,-201941321,7778100,128.775478845,18.5881284143,-4.60517113966,100,51,60,2012-03-09
Tangled,7,260000000,200821936,586581936,-59178064,326581936,126.982343247,19.8955173842,18.7766982709,74,90,87,2010-11-24
Spider-Man 3,8,258000000,336530303,890875303,78530303,632875303,126.737438842,20.4266446561,19.4519831156,42,63,51,2007-05-04
The Avengers: Age of Ultron,9,250000000,459005868,1404705868,209005868,1154705868,125.743342968,20.9584613586,19.8339752703,29,0,0,
The Hobbit: An Unexpected Journey,10,250000000,303003568,1017003568,53003568,767003568,125.743342968,20.5925348738,19.3565579582,56,0,0,
Harry Potter and the Half-Blood Prince,11,250000000,301959197,935083686,51959197,685083686,125.743342968,20.4945240548,19.3524530869,81,0,0,
The Hobbit: The Desolation of Smaug,12,250000000,258366855,960366855,8366855,710366855,125.743342968,20.5258108619,19.1640845178,88,0,0,
The Hobbit: The Battle of the Five Armies,13,250000000,255119788,955119788,5119788,705119788,125.743342968,20.51939785,19.1485245203,92,0,0,
Pirates of the Caribbean: On Stranger Tides,14,250000000,241063875,1045663875,-8936125,795663875,125.743342968,20.624675813,19.0782276688,23,0,0,
Superman Returns,15,232000000,200120000,374085065,-31880000,142085065,123.41615053,19.3470616266,18.9516696418,10,0,0,
Quantum of Solace,16,230000000,169368427,591692078,-60631573,361692078,123.149303238,19.9727910235,18.7664648333,57,0,0,
Pirates of the Caribbean: Dead Man's Chest,18,225000000,423315812,1066215812,198315812,841215812,122.474487139,20.6737247476,19.8076177311,9,0,0,
Man of Steel,19,225000000,291045518,667999518,66045518,442999518,122.474487139,20.1316815382,19.4064484291,6,0,0,
The Chronicles of Narnia: Prince Caspian,20,225000000,141621490,417341288,-83378510,192341288,122.474487139,19.5285551069,18.5909534288,5,0,0,
The Amazing Spider-Man,21,220000000,262030663,757890267,42030663,537890267,121.788328563,20.2899265932,19.312563957,29,0,0,
Jurassic World,22,215000000,652198010,1669164161,437198010,1454164161,121.090372444,21.1709052427,20.275633034,64,0,0,
Men in Black 3,23,215000000,179020854,654213485,-35979146,439213485,121.090372444,20.1248172438,18.927270459,14,0,0,
Transformers: Revenge of the Fallen,24,210000000,402111870,836519699,192111870,626519699,120.38013435,20.4180576637,19.7919964607,88,0,0,
Transformers: Age of Extinction,25,210000000,245439076,1104039076,35439076,894039076,120.38013435,20.727745108,19.2851744631,60,0,0,
X-Men: The Last Stand,26,210000000,234362462,459359555,24362462,249359555,120.38013435,19.7010861082,19.2373888273,30,0,0,
Robin Hood,27,210000000,105269730,322241588,-104730270,112241588,120.38013435,19.2212994455,18.3923949565,64,0,0,
Battleship,28,209000000,65233400,305218228,-143766600,96218228,120.236568043,19.1466264732,17.8789614714,54,0,0,
The Golden Compass,30,205000000,70107728,367262558,-134892272,162262558,119.657097839,19.4239297848,18.0209349843,35,0,0,
Titanic,31,200000000,658672302,2207615668,458672302,2007615668,118.9207115,21.4737692026,20.3086796929,81,0,0,
Toy Story 3,32,200000000,415004880,1069818229,215004880,869818229,118.9207115,20.7033370421,19.8484677571,56,0,0,
Iron Man 3,33,200000000,408992272,1215392272,208992272,1015392272,118.9207115,20.8417974937,19.8339421852,58,0,0,
Spider-Man 2,34,200000000,373524485,783705001,173524485,583705001,118.9207115,20.3582061866,19.7436779625,52,0,0,
Skyfall,36,200000000,304360277,1110526981,104360277,910526981,118.9207115,20.7440260674,19.5400807889,94,0,0,
Monsters University,37,200000000,268488329,743588329,68488329,543588329,118.9207115,20.2986768848,19.4155225485,82,0,0,
Oz the Great and Powerful,38,200000000,234770996,489570996,34770996,289570996,118.9207115,19.8070281987,19.2823561095,91,0,0,
X-Men: Days of Future Past,39,200000000,233921534,748121534,33921534,548121534,118.9207115,20.3055840725,19.2787610712,34,0,0,
The Amazing Spider-Man 2,40,200000000,202853933,708996336,2853933,508996336,118.9207115,20.2443370213,19.1375212771,25,0,0,
Cars 2,41,200000000,191450875,560155383,-8549125,360155383,118.9207115,19.969530987,19.0802307886,76,0,0,
Tron: Legacy,42,200000000,172062763,397562763,-27937237,197562763,118.9207115,19.5456525641,18.9745893282,54,0,0,
2012,43,200000000,166112167,788408539,-33887833,588408539,118.9207115,20.3649592498,18.9397928677,19,0,0,
Terminator Salvation,44,200000000,125322469,365491792,-74677531,165491792,118.9207115,19.4357013799,18.661772577,92,0,0,
Green Lantern,45,200000000,116601172,231201172,-83398828,31201172,118.9207115,18.7688797666,18.5907820451,17,0,0,
Prince of Persia: Sands of Time,46,200000000,90759676,314594597,-109240324,114594597,118.9207115,19.2318102248,18.3448897857,9,0,0,
Transformers: Dark of the Moon,49,195000000,352390543,1123790543,157390543,928790543,118.170385646,20.7617562691,19.6997569317,69,0,0,
Jack the Giant Slayer,50,195000000,65187603,197687603,-129812397,2687603,118.170385646,18.5441175006,18.093965687,0,0,0,
Furious 7,51,190000000,351032910,1516246709,161032910,1326246709,117.405488594,21.0856125318,19.7098424008,15,0,0,
Star Trek Into Darkness,52,190000000,228778661,466978661,38778661,276978661,117.405488594,19.7750429138,19.2991449156,57,0,0,
World War Z,53,190000000,202359711,531514650,12359711,341514650,117.405488594,19.9291150622,19.1828922762,2,0,0,
Disney's A Christmas Carol,55,190000000,137855863,315709697,-52144137,125709697,117.405488594,19.2800198411,18.8247928305,0,0,0,
Pacific Rim,56,190000000,101802906,411002906,-88197094,221002906,117.405488594,19.6189970243,18.5494628629,59,0,0,
The Good Dinosaur,57,187500000,59422070,88122070,-128077930,-99377930,117.017365966,16.2199581365,18.1177278777,38,0,0,
Iron Man,58,186000000,318604126,582443126,132604126,396443126,116.782625835,20.0438112199,19.6282832938,72,0,0,
The Dark Knight,59,185000000,533345358,1002891358,348345358,817891358,116.625342481,20.6489103265,20.125949935,5,0,0,
Indiana Jones and the Kingdom of the Crystal Skull,60,185000000,317023851,786558145,132023851,601558145,116.625342481,20.3836002488,19.6265472701,12,0,0,
Brave,61,185000000,237282182,554606532,52282182,369606532,116.625342481,19.9894149341,19.3537243712,24,0,0,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",62,180000000,291710957,720539572,111710957,540539572,115.829218529,20.2940045534,19.5637955354,12,0,0,
Maleficent,63,180000000,241407328,758407328,61407328,578407328,115.829218529,20.3505450877,19.3889893739,92,0,0,
WALL-E,64,180000000,223808164,532590994,43808164,352590994,115.829218529,19.9533266707,19.3198232214,45,0,0,
Rush Hour 3,65,180000000,140125968,256585882,-39874032,76585882,115.829218529,19.0468123327,18.9035221712,43,0,0,
Hugo,66,180000000,73864507,180047784,-106135493,47784,115.829218529,18.5205082146,18.3778340763,18,0,0,
Jupiter Ascending,68,179000000,47482519,181982519,-131517481,2982519,115.66800837,18.5467208053,18.0700424003,10,0,0,
Edge of Tomorrow,69,178000000,100206256,364406256,-77793744,186406256,115.506121328,19.5087594083,18.6369815531,60,0,0,
Inside Out,70,175000000,356418708,852343178,181418708,677343178,115.01633169,20.4847464561,19.7644851291,13,0,0,
Up,71,175000000,293004164,731542621,118004164,556542621,115.01633169,20.3182899037,19.5836611799,14,0,0,
Monsters vs. Aliens,72,175000000,198351526,381687380,23351526,206687380,115.01633169,19.5748463765,19.2329116562,30,0,0,
G.I. Joe: The Rise of Cobra,73,175000000,150201498,302469017,-24798502,127469017,115.01633169,19.2874419262,18.9924668522,94,0,0,
Wild Wild West,74,175000000,113805681,221229335,-61194319,46229335,115.01633169,18.8697133671,18.7624745247,32,0,0,
The Mummy: Tomb of the Dragon Emperor,75,175000000,102277510,405545959,-72722490,230545959,115.01633169,19.6473818945,18.6770178895,94,0,0,
Evan Almighty,76,175000000,100289690,174131329,-74710310,-868671,115.01633169,18.5121797706,18.6615149764,79,0,0,
Waterworld,77,175000000,88214660,264214660,-86785340,89214660,115.01633169,19.1121510294,18.5617981239,83,0,0,
47 Ronin,78,175000000,38362475,151659062,-136637525,-23340938,115.01633169,18.282674256,17.9945607244,16,0,0,
Guardians of the Galaxy,80,170000000,333172112,771172112,163172112,601172112,114.185834544,20.383057927,19.7157186386,51,0,0,
Iron Man 2,81,170000000,312128345,623256345,142128345,453256345,114.185834544,20.1500444383,19.6563547123,45,0,0,
Captain America: The Winter Soldier,82,170000000,259746958,713846958,89746958,543846958,114.185834544,20.2990722405,19.4911962524,76,0,0,
Dawn of the Planet of the Apes,83,170000000,208545589,703545589,38545589,533545589,114.185834544,20.2832028105,19.2981762178,21,0,0,
The Polar Express,84,170000000,194949659,319049659,24949659,149049659,114.185834544,19.3742668791,19.2399801958,35,0,0,
Snow White and the Huntsman,85,170000000,155136755,401016924,-14863245,231016924,114.185834544,19.648762086,19.0470366065,19,0,0,
Terminator 3: Rise of the Machines,86,170000000,150358296,433058296,-19641704,263058296,114.185834544,19.7384514217,19.0211621388,100,0,0,
Van Helsing,87,170000000,120150546,300150546,-49849454,130150546,114.185834544,19.2986496367,18.8399952845,7,0,0,
Tomorrowland,88,170000000,93436322,205336322,-76563678,35336322,114.185834544,18.7976542197,18.6468408849,66,0,0,
Shrek Forever After,89,165000000,238395990,755903876,73395990,590903876,113.336810343,20.3685234787,19.4335074895,36,0,0,
Big Hero 6,90,165000000,222527828,652127828,57527828,487127828,113.336810343,20.2083954943,19.3741483672,5,0,0,
How to Train Your Dragon,91,165000000,217581231,494870991,52581231,329870991,113.336810343,19.9030150935,19.354900003,40,0,0,
Wreck-It Ralph,92,165000000,189412677,473412677,24412677,308412677,113.336810343,19.8530542621,19.2376106946,35,0,0,
Interstellar,93,165000000,188017894,665417894,23017894,500417894,113.336810343,20.2303916772,19.2314296771,82,0,0,
Cowboys and Aliens,94,163000000,100240551,175910315,-62759449,12910315,112.991793219,18.6306219831,18.7512920676,0,0,0,
Shrek the Third,95,160000000,321012359,805623351,161012359,645623351,112.468265038,20.4436492747,19.7097857808,59,0,0,
Inception,96,160000000,292576195,832584416,132576195,672584416,112.468265038,20.4786875161,19.6281998009,93,0,0,
Fast and Furious 6,97,160000000,238679850,789952811,78679850,629952811,112.468265038,20.4227052621,19.4525161719,60,0,0,
The Hunger Games: Mockingjay - Part 2,98,160000000,206380154,448780154,46380154,288780154,112.468265038,19.8050492418,19.3302347349,46,0,0,
X-Men: First Class,100,160000000,146408305,355408305,-13591695,195408305,112.468265038,19.5386332884,19.0538105065,32,0,0,
The Curious Case of Benjamin Button,101,160000000,127509326,329809326,-32490674,169809326,112.468265038,19.4512267603,18.9480722743,74,0,0,
The Sorcerer's Apprentice,102,160000000,63150991,217986320,-96849009,57986320,112.468265038,18.9420697503,18.4703496839,42,0,0,
Poseidon,103,160000000,60674817,181674817,-99325183,21674817,112.468265038,18.6992594488,18.4465057689,72,0,0,
The Chronicles of Narnia: The Voyage of the Dawn Treader,104,155000000,104386950,418186950,-50613050,263186950,111.579118109,19.7387958097,18.8349620153,12,0,0,
Terminator: Genisys,105,155000000,89760956,440160956,-65239044,285160956,111.579118109,19.7959424637,18.7333159585,48,0,0,
Alexander,106,155000000,34297191,167297191,-120702809,12297191,111.579118109,18.6256394121,18.2128999785,65,0,0,
Pearl Harbor,107,151500000,198539855,449239855,47039855,297739855,110.943830947,19.8272435479,19.3328878532,55,0,0,
Transformers,108,151000000,319071806,708098205,168071806,557098205,110.852179624,20.3191225254,19.7290490414,42,0,0,
Frozen,109,150000000,400738009,1274234980,250738009,1124234980,110.66819197,20.9340818936,19.930694552,10,0,0,
Harry Potter and the Order of the Phoenix,110,150000000,292004738,942943935,142004738,792943935,110.66819197,20.6216695355,19.6559953978,37,0,0,
Harry Potter and the Goblet of Fire,111,150000000,290013036,896911078,140013036,746911078,110.66819197,20.569369998,19.6501878271,59,0,0,
The Matrix Reloaded,112,150000000,281553689,738576929,131553689,588576929,110.66819197,20.3652001707,19.6251384607,3,0,0,
I am Legend,113,150000000,256393010,585532684,106393010,435532684,110.66819197,20.1180982622,19.5466952425,75,0,0,
Hancock,114,150000000,227946274,624234272,77946274,474234272,110.66819197,20.1865829674,19.4498986341,40,0,0,
Charlie and the Chocolate Factory,115,150000000,206459076,475825484,56459076,325825484,110.66819197,19.8937850005,19.3700208663,100,0,0,
Ratatouille,116,150000000,206445654,626549695,56445654,476549695,110.66819197,20.1905352705,19.3699689223,42,0,0,
Thor: The Dark World,117,150000000,206360018,633360018,56360018,483360018,110.66819197,20.2020703987,19.369637442,4,0,0,
Batman Begins,118,150000000,205343774,359142722,55343774,209142722,110.66819197,19.5825587566,19.3656953471,87,0,0,
Mission: Impossible - Rogue Nation,119,150000000,195042377,700868363,45042377,550868363,110.66819197,20.3097462862,19.3248328925,35,0,0,
Thor,120,150000000,181030624,449326618,31030624,299326618,110.66819197,19.8311233256,19.2664285966,74,0,0,
Madagascar: Escape 2 Africa,121,150000000,180010950,599516844,30010950,449516844,110.66819197,20.143388565,19.2620421801,72,0,0,
X-Men Origins: Wolverine,122,150000000,179883157,374825760,29883157,224825760,110.66819197,19.6304646372,19.261491083,52,0,0,
Night at the Museum: Battle of the Smithsonian,123,150000000,177243721,402231063,27243721,252231063,110.66819197,19.709035059,19.2500402789,77,0,0,
Kung Fu Panda 2,124,150000000,165249063,664837547,15249063,514837547,110.66819197,20.2537225641,19.1962848725,37,0,0,
Mad Max: Fury Road,125,150000000,153636354,373136354,3636354,223136354,110.66819197,19.6254130478,19.1413345011,65,0,0,
The Matrix Revolutions,126,150000000,139259759,427289109,-10740241,277289109,110.66819197,19.7758438961,19.0688362072,4,0,0,
Mission: Impossible III,127,150000000,133501348,397501348,-16498652,247501348,110.66819197,19.6959083118,19.0382563303,72,0,0,
Angels & Demons,128,150000000,133375846,490875846,-16624154,340875846,110.66819197,19.9277006695,19.0375793314,82,0,0,
Troy,129,150000000,133298577,484161265,-16701423,334161265,110.66819197,19.9127114409,19.037162289,81,0,0,
The Last Airbender,130,150000000,131601062,319542756,-18398938,169542756,110.66819197,19.4502751537,19.0279561689,93,0,0,
Bee Movie,131,150000000,126631277,287594577,-23368723,137594577,110.66819197,19.3291200096,19.000505788,7,0,0,
G-Force,132,150000000,119436770,292817841,-30563230,142817841,110.66819197,19.3499591023,18.9593827322,77,0,0,
Bolt,133,150000000,114053759,328015209,-35946241,178015209,110.66819197,19.4800858829,18.9274687074,34,0,0,
Wrath of the Titans,134,150000000,83670083,305270083,-66329917,155270083,110.66819197,19.3979549039,18.7253040303,2,0,0,
Beowulf,135,150000000,82195215,194995215,-67804785,44995215,110.66819197,18.8618054693,18.7143687646,100,0,0,
Dark Shadows,136,150000000,79727149,236527149,-70272851,86527149,110.66819197,19.0985995137,18.6957977304,85,0,0,
White House Down,137,150000000,73103784,205440387,-76896216,55440387,110.66819197,18.9268392678,18.6441850703,14,0,0,
The Wolfman,138,150000000,61979680,142424154,-88020320,-7575846,110.66819197,18.4490193458,18.5510157925,32,0,0,
Pan,139,150000000,34570824,123370824,-115429176,-26629176,110.66819197,18.2441949182,18.2757953668,8,0,0,
Mars Needs Moms,140,150000000,21392758,39549758,-128607242,-110450242,110.66819197,-4.60516964955,18.1105359839,62,0,0,
Batman Begins (IMAX),141,150000000,15900000,169698948,-134100000,19698948,110.66819197,18.6841919659,18.0326820217,95,0,0,
Flushed Away,143,149000000,64665672,179357126,-84334328,30357126,110.483282064,18.7629033299,18.582859056,35,0,0,
Madagascar 3: Europe's Most Wanted,144,145000000,216391482,746921271,71391482,601921271,109.734199677,20.3841101212,19.4262006693,65,0,0,
Mission: Impossible - Ghost Protocol,145,145000000,209397903,694713230,64397903,549713230,109.734199677,20.3079980472,19.4002813325,97,0,0,
How to Train Your Dragon 2,146,145000000,177002924,616102924,32002924,471102924,109.734199677,20.1812129548,19.2705933757,86,0,0,
Tarzan,147,145000000,171091819,448191819,26091819,303191819,109.734199677,19.8405115709,19.2450015273,75,0,0,
Mr. Peabody & Sherman,148,145000000,111506430,269806430,-33493570,124806430,109.734199677,19.2761876974,18.9421361766,66,0,0,
Rise of the Guardians,149,145000000,103412758,306900902,-41587242,161900902,109.734199677,19.4226027623,18.8928949219,75,0,0,
Sahara,150,145000000,68671925,121671925,-76328075,-23328075,109.734199677,18.2828219101,18.6487182683,99,0,0,
Die Another Day,151,142000000,160932247,431932247,18932247,289932247,109.162151352,19.8079308707,19.2131010053,82,0,0,
Star Trek,152,140000000,257730019,385680446,117730019,245680446,108.775730594,19.6908083226,19.5828039635,73,0,0,
Armageddon,153,140000000,201573391,554595209,61573391,414595209,108.775730594,20.0789953902,19.3896197574,2,0,0,
Men in Black 2,154,140000000,190418803,441767803,50418803,301767803,108.775730594,19.8370630028,19.3463676889,91,0,0,
Captain America: The First Avenger,155,140000000,176654505,370569776,36654505,230569776,108.775730594,19.6474517374,19.2902815738,36,0,0,
Lethal Weapon 4,156,140000000,129734803,284690200,-10265197,144690200,108.775730594,19.3573247045,19.0713176515,79,0,0,
G.I. Joe: Retaliation,157,140000000,122523060,371923060,-17476940,231923060,108.775730594,19.6514122261,19.032966946,96,0,0,
The Last Samurai,158,140000000,111110575,456810575,-28889425,316810575,108.775730594,19.8729051974,18.9691020844,6,0,0,
Fun With Dick And Jane,159,140000000,110550000,203018919,-29450000,63018919,108.775730594,18.9715103952,18.9658574802,39,0,0,
Exodus: Gods and Kings,160,140000000,65014513,268314513,-74985487,128314513,108.775730594,19.2909893365,18.6593498202,39,0,0,
Spider-Man,161,139000000,403706375,821706375,264706375,682706375,108.580965747,20.4915312595,19.9610851327,28,0,0,
Watchmen,162,138000000,107509799,184068357,-30490201,46068357,108.385147158,18.8686854044,18.9598087694,17,0,0,
Stealth,163,138000000,31704416,76004416,-106295584,-61995584,108.385147158,17.6961390322,18.3761616842,13,0,0,
The Incredible Hulk,164,137500000,134533885,263144885,-2966115,125644885,108.286838533,19.2797453623,19.108690782,37,0,0,
Hulk,165,137000000,132177234,245229234,-4822766,108229234,108.188261428,19.2031176358,19.0993159078,86,0,0,
Final Fantasy: The Spirits Within,166,137000000,32131830,85131830,-104868170,-51868170,108.188261428,17.8859392693,18.3909753864,88,0,0,
"The Twilight Saga: Breaking Dawn, Part 2",167,136200000,292324737,829724737,156124737,693524737,108.029975325,20.505078706,19.6962280469,42,0,0,
The Croods,168,135000000,187168425,573068425,52168425,438068425,107.791233589,20.1227318699,19.3532768026,73,0,0,
The World is Not Enough,169,135000000,126930660,361730660,-8069340,226730660,107.791233589,19.6361301455,19.0827086075,52,0,0,
Rango,170,135000000,123257581,245504574,-11742419,110504574,107.791233589,19.2134687861,19.0635809352,70,0,0,
Master and Commander: The Far Side of the World,171,135000000,93926386,212912137,-41073614,77912137,107.791233589,19.0538782134,18.8960928896,36,0,0,
Turbo,172,135000000,83028130,286896578,-51971870,151896578,107.791233589,19.3851779268,18.8259421714,16,0,0,
Happy Feet Two,173,135000000,64006466,157956466,-70993534,22956466,107.791233589,18.7089129751,18.6903092293,43,0,0,
Miami Vice,174,135000000,63450470,163790188,-71549530,28790188,107.791233589,18.7517127092,18.6860542531,3,0,0,
War of the Worlds,175,132000000,234280354,606836535,102280354,474836535,107.187337373,20.1876125022,19.5332671877,25,0,0,
Penguins of Madagascar,176,132000000,83350911,367650911,-48649089,235650911,107.187337373,19.66224164,18.8478566707,44,0,0,
The Hunger Games: Catching Fire,177,130000000,424668047,864868047,294668047,734868047,106.778997237,20.5552237878,20.0233142952,91,0,0,
Harry Potter and the Prisoner of Azkaban,178,130000000,249538952,796688549,119538952,666688549,106.778997237,20.4711295166,19.5884467405,26,0,0,
The Bourne Ultimatum,179,130000000,227471070,442161562,97471070,312161562,106.778997237,19.8619645946,19.5173324152,48,0,0,
Kung Fu Panda,180,130000000,215434591,631910531,85434591,501910531,106.778997237,20.2328321652,19.4763017146,38,0,0,
Ant-Man,181,130000000,180070613,518470613,50070613,388470613,106.778997237,20.0279580339,19.3449870015,19,0,0,
Puss in Boots,183,130000000,149260504,554987477,19260504,424987477,106.778997237,20.0985951367,19.2145860781,66,0,0,
Megamind,184,130000000,148415853,321887208,18415853,191887208,106.778997237,19.5270543357,19.2107603061,29,0,0,
Bad Boys II,185,130000000,138540870,272940870,8540870,142940870,106.778997237,19.3504447503,19.1649116042,34,0,0,
Rio 2,186,130000000,131538435,493738435,1538435,363738435,106.778997237,19.9771158532,19.1310770788,48,0,0,
Salt,187,130000000,118311368,290650494,-11688632,160650494,106.778997237,19.4180010294,19.0638636887,38,0,0,
Noah,188,130000000,101200044,352831065,-28799956,222831065,106.778997237,19.6244974571,18.9696189576,27,0,0,
The Adventures of Tintin,189,130000000,77591831,373993951,-52408169,243993951,106.778997237,19.686061467,18.8230286788,7,0,0,
After Earth,190,130000000,60522097,251499665,-69477903,121499665,106.778997237,19.2620319883,18.7018170748,67,0,0,
Australia,191,130000000,49554002,215080810,-80445998,85080810,106.778997237,19.0912297586,18.6153863263,57,0,0,
R.I.P.D.,192,130000000,33618855,79072464,-96381145,-50927536,106.778997237,17.9018684113,18.474791737,85,0,0,
"The Twilight Saga: Breaking Dawn, Part 1",193,127500000,281287133,689420051,153787133,561920051,106.261892467,20.326319778,19.6896782281,0,0,0,
Dinosaur,194,127500000,137748063,356148063,10248063,228648063,106.261892467,19.6418006086,19.1729897547,54,0,0,
Night at the Museum: Secret of the Tomb,195,127000000,113746621,356546621,-13253379,229546621,106.157560586,19.6444469491,19.055605108,42,0,0,
Harry Potter and the Deathly Hallows: Part II,196,125000000,381011219,1341511219,256011219,1216511219,105.737126344,21.0061575497,19.9422761123,45,0,0,
The Hunger Games: Mockingjay - Part 1,197,125000000,337135885,709635885,212135885,584635885,105.737126344,20.3595463196,19.8415630023,65,0,0,
Harry Potter and the Sorcerers Stone,198,125000000,317575550,974755371,192575550,849755371,105.737126344,20.6826579997,19.7931724629,54,0,0,
Pirates of the Caribbean: The Curse of the Black Pearl,199,125000000,305411224,634954103,180411224,509954103,105.737126344,20.2458819928,19.7618536337,18,0,0,
Harry Potter and the Deathly Hallows: Part I,200,125000000,295001070,959301070,170001070,834301070,105.737126344,20.6664322889,19.7342495374,100,0,0,
The Da Vinci Code,201,125000000,217536138,767820459,92536138,642820459,105.737126344,20.4399352179,19.5007130183,62,0,0,
X2,202,125000000,214949694,407711549,89949694,282711549,105.737126344,19.7897317671,19.4918910543,72,0,0,
Fast Five,203,125000000,209837675,629969804,84837675,504969804,105.737126344,20.2378155943,19.4742224283,4,0,0,
Sherlock Holmes: A Game of Shadows,205,125000000,186848418,535663443,61848418,410663443,105.737126344,20.0714787813,19.3906629006,70,0,0,
The Day After Tomorrow,206,125000000,186740799,556319450,61740799,431319450,105.737126344,20.1103515466,19.3902548447,100,0,0,
Godzilla,208,125000000,136142003,375827709,11142003,250827709,105.737126344,19.7051581674,19.1771938397,34,0,0,
Prometheus,209,125000000,126477084,399005706,1477084,274005706,105.737126344,19.7673397708,19.1307755243,9,0,0,
The Bourne Legacy,210,125000000,113203870,280355920,-11796130,155355920,105.737126344,19.3982778869,19.0632985015,83,0,0,
Batman & Robin,211,125000000,107308328,238300947,-17691672,113300947,105.737126344,19.2260452291,19.0318021841,91,0,0,
The 13th Warrior,213,125000000,32694788,61694788,-92305212,-63305212,105.737126344,17.6687391534,18.51267734,57,0,0,
How the Grinch Stole Christmas,214,123000000,260044825,345141403,137044825,222141403,105.311616199,19.6224260042,19.6414697973,90,0,0,
Mission: Impossible 2,215,120000000,215409889,549588516,95409889,429588516,104.663513939,20.107151469,19.5104245234,30,0,0,
The Perfect Storm,216,120000000,182618434,328711434,62618434,208711434,104.663513939,19.5812083537,19.3935777006,28,0,0,
Fantastic Four: Rise of the Silver Surfer,217,120000000,131921738,288215319,11921738,168215319,104.663513939,19.4455229147,19.180846457,42,0,0,
Life of Pi,218,120000000,124987022,607987022,4987022,487987022,104.663513939,20.2098322554,19.1478831223,37,0,0,
Ghost Rider,219,120000000,115802596,229545589,-4197404,109545589,104.663513939,19.2091191542,19.1024834031,100,0,0,
Charlie's Angels: Full Throttle,220,120000000,100814328,227200000,-19185672,107200000,104.663513939,19.1983999379,19.0236605673,3,0,0,
Elysium,221,120000000,93050117,286192091,-26949883,166192091,104.663513939,19.4382360132,18.980247605,72,0,0,
Oblivion,222,120000000,89107235,287916633,-30892765,167916633,104.663513939,19.4444504959,18.9574580274,34,0,0,
Stuart Little 2,223,120000000,64736114,165779308,-55263886,45779308,104.663513939,18.8668369581,18.803746414,83,0,0,
The Chronicles of Riddick,225,120000000,57712751,107212751,-62287249,-12787249,104.663513939,18.3970332634,18.7546790086,21,0,0,
Speed Racer,227,120000000,43945766,93394462,-76054234,-26605538,104.663513939,18.244476884,18.6508959283,57,0,0,
How Do You Know?,229,120000000,30212620,49628177,-89787380,-70371823,104.663513939,17.5063485681,18.5353829588,75,0,0,
Knight and Day,231,117000000,76423035,258751370,-40576965,141751370,104.003143349,19.3457393733,18.8991754468,8,0,0,
Star Wars Ep. I: The Phantom Menace,232,115000000,474544677,1027044677,359544677,912044677,103.555807634,20.7455114767,20.1460973951,52,0,0,
Star Wars Ep. III: Revenge of the Sith,233,115000000,380270577,848998877,265270577,733998877,103.555807634,20.5541950426,19.9622934558,36,0,0,
Star Wars Ep. II: Attack of the Clones,234,115000000,302181125,648200000,187181125,533200000,103.555807634,20.2826660341,19.7794046233,23,0,0,
"Monsters, Inc.",235,115000000,289423425,559757719,174423425,444757719,103.555807634,20.134853306,19.7460693003,99,0,0,
The Wolverine,236,115000000,132556852,416456852,17556852,301456852,103.555807634,19.8363083819,19.206854467,43,0,0,
Dante's Peak,237,115000000,67155742,178191885,-47844258,63191885,103.555807634,18.9725069979,18.8530932411,18,0,0,
Windtalkers,238,115000000,40914068,77628265,-74085932,-37371735,103.555807634,18.1070448597,18.6664104098,78,0,0,
Astérix aux Jeux Olympiques,239,113500000,999811,132999811,-112500189,19499811,103.216461266,18.682660727,18.3090912239,78,0,0,
Gulliver's Travels,240,112000000,42779261,232017848,-69220739,120017848,102.873734472,19.2556229727,18.7037565891,68,0,0,
Gravity,241,110000000,274092705,716392705,164092705,606392705,102.411368908,20.3903673327,19.7182368543,37,0,0,
Night at the Museum,242,110000000,250863268,581570293,140863268,471570293,102.411368908,20.1820162886,19.6526711314,78,0,0,
Mr. and Mrs. Smith,243,110000000,186336279,486124090,76336279,376124090,102.411368908,20.0029002373,19.4441297346,2,0,0,
San Andreas,244,110000000,155190832,469590832,45190832,359590832,102.411368908,19.9683306404,19.3254337839,92,0,0,
The Smurfs,245,110000000,142614158,563749323,32614158,453749323,102.411368908,20.1509185855,19.2732027021,85,0,0,
Live Free or Die Hard,246,110000000,134529403,382288147,24529403,272288147,102.411368908,19.7628622563,19.2381262407,79,0,0,
Insurgent,247,110000000,130179072,295279072,20179072,185279072,102.411368908,19.5049551142,19.2187301037,44,0,0,
Ocean's Twelve,248,110000000,125531634,362989076,15531634,252989076,102.411368908,19.7111229029,19.197585056,39,0,0,
Tomorrow Never Dies,249,110000000,125279326,339479326,15279326,229479326,102.411368908,19.6442490012,19.1964242014,66,0,0,
